sSelSeq 0x3000000
PassageID 0x3000002
InPassageLevelID 0x3000003
cSelectedNo 0x3000004
usRandomCount 0x3000006
MiniGameCoinNum 0x3000008
usMiniBestScore 0x300000A
ucWorldNumBak 0x3000010
ucDisConFlg 0x3000012
ucSaveFlg 0x3000013
ucSRAM 0x3000014
ucPerfect 0x3000015
ucLanguage 0x3000016
DifficultyId 0x3000017
ucAllReset 0x3000018
ucSaveNum 0x3000019
ucBossPause 0x300001A
ucBossRoom_BossProgress 0x300001B
ucBgmOff 0x300001C
ucGndSaveFlg 0x300001D
ucResetStop 0x300001E
ucNotUsed_300001F 0x300001F
ucAutoDemoNum 0x3000020
ucGmapSubSeq 0x3000021
ucTitle2f 0x3000022
ucTotalTaikaiNum 0x3000023
CurrentRoomId 0x3000024
ucGateNum 0x3000025
CurDoorType 0x3000026
ucTekiGroup 0x3000027
ucEnemyBrokenFlag 0x3000028
usAlphaBLD 0x300002A
usBldCnt 0x300002C
MapSw 0x300002E
ucObjPriFlg 0x3000033
ucKeyPri 0x3000034
ucBgCountDown 0x3000035
ucBgCDcnt 0x3000036
ucHblkFlg 0x3000037
ucAlpfaSw 0x3000038
Unused_3000039 0x3000039
usTekiBgPosX 0x300003A
usEnemyBgPosY 0x300003C
usDisConR 0x300003E
ucFlashLoop 0x3000044
ucBgDiva 0x3000045
ucBgAnimatedStop 0x3000046
ucTimeUp 0x3000047
ucSTEndType 0x3000048
BgDebug 0x300004D
Layer0_DecompressedDataPointer 0x3000054
Layer0_Width 0x3000058
Layer0_Height 0x300005A
Layer1_DecompressedDataPointer 0x300005C
Layer1_Width 0x3000060
Layer1_Height 0x3000062
Layer2_DecompressedDataPointer 0x3000064
Layer2_Width 0x3000068
Layer2_Height 0x300006A
Layer3_DecompressedDataPointer 0x300006C
Layer3_Width 0x3000070
Layer3_Height 0x3000072
CurrentRoomHeader_TilesetId 0x3000074
CurrentRoomHeader_Layer0MappingType 0x3000075
CurrentRoomHeader_Layer1MappingType 0x3000076
CurrentRoomHeader_Layer2MappingType 0x3000077
CurrentRoomHeader_Layer3MappingType 0x3000078
CurrentRoomHeader_Layer0CompressedDataPointer 0x300007C
CurrentRoomHeader_Layer1CompressedDataPointer 0x3000080
CurrentRoomHeader_Layer2CompressedDataPointer 0x3000084
CurrentRoomHeader_Layer3CompressedDataPointer 0x3000088
CurrentRoomHeader_CameraControlTypeFlag 0x300008C
CurrentRoomHeader_Layer3ScrollingControlFlag 0x300008D
CurrentRoomHeader_LayerPriorityALphaParam 0x300008E
CurrentRoomHeader_HardModeEntitylistPointer 0x3000090
CurrentRoomHeader_NormalModeEntitylistPointer 0x3000094
CurrentRoomHeader_S_HardModeEntitylistPointer 0x3000098
CurrentRoomHeader_Raster 0x300009C
CurrentRoomHeader_Water 0x300009D
CurrentRoomHeader_MusicVolume 0x300009E
Terrain_usField 0x30000A0
Terrain_usKoka_SolidOrWater 0x30000A2
Terrain_usEnemySpecified 0x30000A4
BgWin1_H 0x30000C0
BgWin1_V 0x30000C2
BgWin1_ucCnt 0x30000C4
Earthquake_Jishin 0x30000C8
YureX 0x30000CC
Fade_ucKind 0x30000D0
Fade_ucCnt 0x30000D1
Fade_ucDat 0x30000D2
Fade_ucDip 0x30000D3
Fade_ucDMAf 0x30000D4
Fade_ucSW 0x30000D5
ucNotUsed_30000D6 0x30000D6
ucNotUsed_30000D7 0x30000D7
AlphaBld_EVB_target 0x30000D8
AlphaBld_EVB_changing 0x30000D9
AlphaBld_EVB_roomSettingVal 0x30000DA
AlphaBld_EVB_cnt 0x30000DB
BScrArea 0x30000DC
CCobj_ucKind 0x30000F4
CCobj_ucPltt 0x30000F5
CCobj_ucKazu 0x30000F6
CCobj_ucDat 0x30000F7
CCobj_ucDMAf 0x30000F8
CCobj_ucSp 0x30000F9
CCbg_ucKind 0x30000FC
CCbg_ucPltt 0x30000FD
CCbg_ucKazu 0x30000FE
CCbg_ucDat 0x30000FF
CCbg_ucDMAf 0x3000100
CCbg_ucSp 0x3000101
CurrentEntityInfoList_TEbuf 0x3000104
Entityset_entityloaderAIList 0x3000524
OAMPaletteOffset 0x3000544
EntityLeftOverStateList 0x3000564
CurrentEntityLoadInfoList 0x3000964
